item_id;vectors
0;0.36991936|0.0859659|0.7434129|0.52332646|-1.083313|-0.19121493|-0.48206958|1.2022868|-0.57412994|0.76932615|0.17655739|0.46766162|-0.27934146|0.53481174|0.07132122|-0.8388308|0.4341868|1.0726616|0.14859605|0.15592903|-0.40538448|1.164319|1.075367|-0.109581515|0.116080195|-0.25069034|-0.5287157|1.1921904|0.17911755|0.6263885|0.2956532|0.0030472279|-0.3904505|-0.082777835|1.2572618|0.79252845|0.23043871|0.31097376|0.8184632|-0.31828547|0.53849417|-0.09578839|-1.0549247|0.09454861|-0.9891423|0.32871765|1.0259547|0.6542464|-0.75943893|0.22451127
1;0.64978933|-0.46912158|0.5204911|-0.3424542|-0.7767389|0.58640164|0.12140229|-0.84417003|0.3545124|-0.20191082|0.4766638|0.036872774|0.45816138|-0.15861401|0.2573511|-0.72853965|0.5332761|1.074121|-0.07315311|0.26530108|-0.18483979|0.69126594|1.1012124|-0.93526995|0.5980642|0.22756527|-0.7566947|0.9112582|0.019994482|0.61217153|-0.35040846|0.39004558|-0.46816647|0.28438336|-0.49435782|0.32568133|-0.8392933|0.049887456|-0.08457387|-1.120487|0.9573384|0.2217901|-0.41943336|0.20205411|-0.2905553|1.3053105|0.75437516|0.92757726|-0.6158099|-0.6719483
2;0.18036932|-0.30878222|0.6288377|-0.24899553|-0.30847734|-0.22317238|0.519189|-0.58229554|0.4548373|0.88436496|0.8924638|0.3018385|-0.44405878|0.62629104|0.43392834|-0.50040567|0.6971636|0.69497716|-0.6203662|0.091591366|-0.7216604|0.39413574|0.5205195|-0.045070916|0.19539762|-0.22766465|0.17508298|0.61622095|0.45268786|0.70958114|-0.20136455|1.4723903|-0.48997647|-0.3150418|-0.17400262|0.014068589|-0.64633906|-0.24345167|0.40002772|-0.10020441|0.36008683|0.10916218|-0.9298207|0.75800097|-0.6405551|0.8231447|-0.100706816|0.5085672|-0.9195594|0.23720849
3;0.16490325|-0.03541097|0.17199263|-0.31197548|-0.8047211|0.6816801|-0.33468834|-1.2982795|0.5726994|0.40631205|0.38228166|-0.21933986|0.6868943|0.6019167|-0.26345152|-0.64255136|-0.18703133|1.3420947|-0.3539969|5.4739416e-05|-0.9637264|0.51149625|0.4719741|-0.61020637|-0.09677845|0.44533223|-0.12562674|0.6406747|-0.11194664|0.30837527|-0.055662483|0.537699|-0.7886264|0.0059378594|0.23156144|0.052498788|-0.53196764|-0.010330513|0.39642146|-0.3663185|0.7041505|-0.54426956|-0.4114951|0.41681185|-0.5728223|1.1122317|0.7497268|0.43041986|-0.68941015|-0.6279226
4;0.35528603|-0.57946616|0.31140286|0.005041484|-0.7851156|-0.8722425|0.48305684|-0.9837389|0.20957933|0.34416193|0.44394165|0.5574356|0.93987316|-0.34805423|0.6706526|-1.0432273|0.48103085|0.8866255|0.22278726|0.10374462|-0.55775225|0.7156473|-0.03848794|-0.20952089|0.5851698|-0.39251027|-0.25133163|0.27867925|0.13065283|0.30599743|-0.5933912|1.0701858|-0.07813138|-0.2272576|-0.63544196|0.371611|-0.8786102|0.42335415|-0.26924706|-1.0591562|0.21218288|-0.33358985|-0.9039404|-0.27450022|-0.47827715|-0.12236005|0.21561278|1.0762354|-0.10913509|-0.2902545
5;0.14024502|0.18878105|0.18208799|0.16265121|-0.9947555|-0.84578574|-0.13509813|-0.53150547|0.4978149|0.16659775|1.1587591|0.25275782|0.09008616|0.5187329|0.18418229|-0.62456083|0.26596397|0.34836268|-0.57657987|-0.40673947|-0.7330947|0.76514524|0.06803098|-0.5649431|-0.03629434|-0.6375615|-0.25354892|0.62844175|-0.501689|0.04253298|-1.0300496|0.87352735|-0.2385791|-0.40586197|0.13109684|-0.13000143|-0.7735218|0.63876295|-1.0420934|-0.34147727|0.5291865|-0.7777171|-0.32760152|-0.04902962|-0.4506988|0.7189493|0.037202686|0.28528774|-0.32077608|-0.6618382
6;0.05847363|-0.2658659|0.78347397|0.25361723|0.12444866|-0.12083161|1.1478506|-0.6396414|0.60225177|-0.40833268|0.6964508|0.2417103|1.0706667|-0.3864566|-0.24844283|0.39379793|1.2015861|0.49922022|-1.0412484|-0.34171382|-0.5112019|0.39681786|0.63733864|0.47759733|0.48768398|0.6314951|-0.6301437|0.5749327|0.4446903|1.3575978|0.05534783|1.540096|-0.5745828|-0.4713102|0.1454006|-0.60125965|0.254618|-0.36535108|0.39373967|-1.1602492|-0.078454494|0.15603116|-0.0669103|0.5382996|-0.2976496|-0.09627026|-0.3380199|1.2512004|-1.0395182|-0.46541768
7;1.182852|-0.9903742|0.22269458|0.18599895|-0.92544717|0.027460217|0.54031885|-0.67097116|0.49524605|-0.2864909|0.5107658|0.33499512|0.067589656|-0.02474913|0.3920641|-0.63454956|0.30840167|0.7186356|-0.4395277|-0.79010916|-0.15777355|-0.15242526|0.26283062|-0.59420705|0.8182465|0.06711133|-0.5115436|0.95279765|0.45915416|0.68868214|-0.54064476|0.8854593|-0.13904835|-0.014776722|-0.55762756|-0.0026297867|-0.22519347|-0.0005643517|-0.49987206|-0.9013139|-0.039510727|-0.27790898|-0.26891026|0.32495004|-0.68804646|1.3491039|0.9604474|0.52869105|0.064729035|-0.37961084
8;0.60168695|-0.32282212|-0.03140062|0.7084976|-1.0695385|-0.41213155|-0.32316616|-1.2012732|0.68928176|0.13019747|0.99653596|-0.6119994|0.38218057|0.033505663|0.51763624|-0.40175766|0.5272892|0.9945777|-0.16256267|0.23261178|-1.1478604|0.6223657|-0.11141637|-0.11042225|-0.16216654|0.554196|-0.91456234|-0.06974429|0.057236254|0.42780367|0.312052|0.7702961|-0.566187|0.019252226|-0.16366483|-0.42281693|-1.0642393|0.2765028|-0.8794635|-0.13309461|0.2792277|-0.556234|-0.7383828|0.7740208|0.30264837|0.21287331|0.11937465|0.05771041|-1.3223624|-0.92051804
9;0.38347524|-0.111661404|0.66585714|-0.1944911|-0.82233965|0.06195222|0.26954776|-1.1822504|0.05895762|0.39274514|-0.18625605|0.056083262|0.7802678|0.94103974|0.94832516|-0.39699948|0.36075595|0.99796635|-0.4325832|-0.17920187|-0.66112864|0.15779221|0.1497697|-0.6376182|0.19695446|-0.30877152|-0.852848|0.39341116|0.34031233|0.47166103|-0.5227587|1.052226|-0.4088493|0.060335085|0.09906629|-0.1292001|-1.0473816|0.29930493|-0.17107493|-0.57416064|0.31332994|-0.36515284|0.44977123|0.23690867|-0.15026137|0.69570726|0.23822114|0.8243911|0.023135304|0.27744633
