state;action_reward;n_state
77&2|736&5|778&4|179&4|618&4|404&5|969&4|479&4|71&4|1036&2|56&5|558&4;945&4|395&2|728&3|386&3|1074&2|167&3|167&3|731&3|412&3|579&1;77&2|736&5|778&4|179&4|618&4|404&5|969&4|479&4|71&4|1036&2|56&5|558&4|945&4|395&2|728&3|386&3|1074&2|167&3|167&3|731&3|412&3|579&1
479&5|1379&4|531&3|170&4|13&4|381&3|60&5|249&3|1023&3|508&3|295&3|1150&4;1462&3|698&4|1560&4|1560&4|1592&4|751&3|345&4|751&3|1153&3|343&2;479&5|1379&4|531&3|170&4|13&4|381&3|60&5|249&3|1023&3|508&3|295&3|1150&4|1462&3|698&4|1560&4|1560&4|1592&4|751&3|345&4|751&3|1153&3|343&2
355&4|272&5|329&3|328&4|258&4|347&4|316&5|333&4|989&4|879&4|313&5|302&5;878&4|878&4|689&4|878&4|689&4|271&4|271&4|689&4|751&4|689&4;355&4|272&5|329&3|328&4|258&4|347&4|316&5|333&4|989&4|879&4|313&5|302&5|878&4|878&4|689&4|878&4|689&4|271&4|271&4|689&4|751&4|689&4
628&3|69&4|117&4|127&5|55&4|433&4|477&3|510&3|919&2|467&4|137&3|169&5;488&4|168&3|654&4|654&4|943&3|488&4|56&5|943&3|56&5|212&3;628&3|69&4|117&4|127&5|55&4|433&4|477&3|510&3|919&2|467&4|137&3|169&5|488&4|168&3|654&4|654&4|943&3|488&4|56&5|943&3|56&5|212&3
250&2|222&3|241&4|317&4|143&5|167&2|216&4|699&5|655&4|829&2|48&4|69&3;1024&5|137&5|301&4|1168&4|542&1|961&5|365&3|316&4|137&5|189&5;250&2|222&3|241&4|317&4|143&5|167&2|216&4|699&5|655&4|829&2|48&4|69&3|1024&5|137&5|301&4|1168&4|542&1|961&5|365&3|316&4|137&5|189&5
286&5|937&4|243&5|873&5|245&4|269&5|294&3|300&4|332&5|288&4|321&3|304&5;322&3|875&1|324&2|324&2|322&3|324&2|322&3|322&3|938&1|322&3;286&5|937&4|243&5|873&5|245&4|269&5|294&3|300&4|332&5|288&4|321&3|304&5|322&3|875&1|324&2|324&2|322&3|324&2|322&3|322&3|938&1|322&3
150&3|1047&3|151&2|756&1|280&4|276&4|100&3|456&1|1059&3|1028&1|591&5|283&4;42&4|186&5|169&4|210&4|42&4|169&4|210&4|124&3|318&5|318&5;150&3|1047&3|151&2|756&1|280&4|276&4|100&3|456&1|1059&3|1028&1|591&5|283&4|42&4|186&5|169&4|210&4|42&4|169&4|210&4|124&3|318&5|318&5
135&4|50&5|168&4|269&2|1018&4|257&4|65&4|474&4|502&4|181&4|212&4|121&3;972&3|4&5|388&3|755&4|1411&4|72&3|771&3|949&3|573&2|153&5;135&4|50&5|168&4|269&2|1018&4|257&4|65&4|474&4|502&4|181&4|212&4|121&3|972&3|4&5|388&3|755&4|1411&4|72&3|771&3|949&3|573&2|153&5
121&4|546&4|259&4|827&2|181&4|274&3|50&5|235&4|109&3|685&3|252&3|25&3;407&3|841&4|122&1|407&3|1052&4|820&4|820&4|122&1|407&3|568&4;121&4|546&4|259&4|827&2|181&4|274&3|50&5|235&4|109&3|685&3|252&3|25&3|407&3|841&4|122&1|407&3|1052&4|820&4|820&4|122&1|407&3|568&4
507&4|197&3|650&3|70&5|42&3|500&4|98&4|252&4|173&4|283&5|313&4|50&4;204&4|659&5|393&3|367&3|780&1|202&4|4&3|88&4|430&4|430&4;507&4|197&3|650&3|70&5|42&3|500&4|98&4|252&4|173&4|283&5|313&4|50&4|204&4|659&5|393&3|367&3|780&1|202&4|4&3|88&4|430&4|430&4
476&4|229&1|518&4|972&4|196&4|9&5|54&3|685&4|684&4|699&3|603&4|664&3;655&5|655&5|654&4|654&4|194&4|45&5|479&4|195&5|170&3|147&5;476&4|229&1|518&4|972&4|196&4|9&5|54&3|685&4|684&4|699&3|603&4|664&3|655&5|655&5|654&4|654&4|194&4|45&5|479&4|195&5|170&3|147&5
213&5|143&5|465&4|82&4|99&4|210&3|283&5|162&3|50&4|751&4|705&4|172&4;605&4|482&2|111&3|479&4|164&3|742&4|111&3|274&4|282&4|496&5;213&5|143&5|465&4|82&4|99&4|210&3|283&5|162&3|50&4|751&4|705&4|172&4|605&4|482&2|111&3|479&4|164&3|742&4|111&3|274&4|282&4|496&5
11&5|328&5|310&5|272&5|181&4|866&5|292&5|895&4|332&5|326&4|237&5|259&3;271&1|271&1|289&5|346&1|322&5|330&3|323&2|323&2|330&3|289&5;11&5|328&5|310&5|272&5|181&4|866&5|292&5|895&4|332&5|326&4|237&5|259&3|271&1|271&1|289&5|346&1|322&5|330&3|323&2|323&2|330&3|289&5
279&4|275&4|205&3|86&5|423&5|690&4|286&4|223&4|15&3|276&4|939&3|28&5;447&4|116&4|258&4|216&4|116&4|528&4|287&5|116&4|302&4|258&4;279&4|275&4|205&3|86&5|423&5|690&4|286&4|223&4|15&3|276&4|939&3|28&5|447&4|116&4|258&4|216&4|116&4|528&4|287&5|116&4|302&4|258&4
118&5|151&4|148&5|928&3|282&5|235&5|147&5|222&5|866&4|181&4|9&3|288&4;284&1|284&1|925&4|472&4|410&2|925&4|597&2|410&2|925&4|1199&2;118&5|151&4|148&5|928&3|282&5|235&5|147&5|222&5|866&4|181&4|9&3|288&4|284&1|284&1|925&4|472&4|410&2|925&4|597&2|410&2|925&4|1199&2
1014&3|1017&4|744&4|293&3|1129&3|124&5|1061&2|13&4|282&2|126&5|285&5|298&2;248&4|740&4|286&5|286&5|221&4|286&5|286&5|287&4|276&4|221&4;1014&3|1017&4|744&4|293&3|1129&3|124&5|1061&2|13&4|282&2|126&5|285&5|298&2|248&4|740&4|286&5|286&5|221&4|286&5|286&5|287&4|276&4|221&4
286&4|230&3|205&5|462&4|526&4|596&3|687&2|1330&3|69&3|423&5|310&3|303&3;455&3|181&1|890&2|300&2|117&4|181&1|890&2|117&4|257&5|257&5;286&4|230&3|205&5|462&4|526&4|596&3|687&2|1330&3|69&3|423&5|310&3|303&3|455&3|181&1|890&2|300&2|117&4|181&1|890&2|117&4|257&5|257&5
340&3|188&3|301&3|482&3|28&3|428&4|1134&3|657&5|963&5|156&4|479&5|23&4;508&5|1&4|1&4|1&4|508&5|628&2|237&4|276&4|237&4|276&4;340&3|188&3|301&3|482&3|28&3|428&4|1134&3|657&5|963&5|156&4|479&5|23&4|508&5|1&4|1&4|1&4|508&5|628&2|237&4|276&4|237&4|276&4
205&5|174&5|302&5|204&4|294&1|245&2|100&5|318&3|289&3|474&5|523&5|258&2;181&5|50&5|232&3|181&5|50&5|50&5|403&4|135&5|172&5|135&5;205&5|174&5|302&5|204&4|294&1|245&2|100&5|318&3|289&3|474&5|523&5|258&2|181&5|50&5|232&3|181&5|50&5|50&5|403&4|135&5|172&5|135&5
607&3|68&4|443&2|421&3|483&4|141&3|393&1|484&3|154&2|151&3|318&4|135&2;217&5|356&2|50&5|87&5|229&2|921&5|727&5|554&2|1133&3|50&5;607&3|68&4|443&2|421&3|483&4|141&3|393&1|484&3|154&2|151&3|318&4|135&2|217&5|356&2|50&5|87&5|229&2|921&5|727&5|554&2|1133&3|50&5
690&1|7&4|340&4|294&4|521&4|242&4|527&3|371&5|479&4|201&5|298&5|402&4;385&5|385&5|286&5|286&5|483&5|691&5|385&5|286&5|286&5|487&5;690&1|7&4|340&4|294&4|521&4|242&4|527&3|371&5|479&4|201&5|298&5|402&4|385&5|385&5|286&5|286&5|483&5|691&5|385&5|286&5|286&5|487&5
1035&3|204&4|97&5|54&3|684&5|357&5|143&2|525&5|98&5|276&4|465&4|601&5;67&4|1091&2|110&3|1091&2|501&3|118&4|27&4|472&3|367&4|825&4;1035&3|204&4|97&5|54&3|684&5|357&5|143&2|525&5|98&5|276&4|465&4|601&5|67&4|1091&2|110&3|1091&2|501&3|118&4|27&4|472&3|367&4|825&4
305&4|301&3|345&4|1296&3|300&3|328&2|268&4|302&4|308&2|286&5|313&5|333&1;321&2|678&2|338&2|338&2|323&2|678&2|678&2|323&2|678&2|321&2;305&4|301&3|345&4|1296&3|300&3|328&2|268&4|302&4|308&2|286&5|313&5|333&1|321&2|678&2|338&2|338&2|323&2|678&2|678&2|323&2|678&2|321&2
182&5|318&5|550&4|92&4|85&5|189&5|231&5|168&5|173&5|202&5|56&5|239&5;952&4|14&4|313&5|186&5|1228&4|691&4|926&3|691&4|354&4|926&3;182&5|318&5|550&4|92&4|85&5|189&5|231&5|168&5|173&5|202&5|56&5|239&5|952&4|14&4|313&5|186&5|1228&4|691&4|926&3|691&4|354&4|926&3
4&3|28&4|64&4|96&5|154&3|487&3|724&4|969&3|211&4|175&4|480&4|172&5;436&4|276&5|173&5|195&4|208&4|526&4|276&5|276&5|436&4|81&2;4&3|28&4|64&4|96&5|154&3|487&3|724&4|969&3|211&4|175&4|480&4|172&5|436&4|276&5|173&5|195&4|208&4|526&4|276&5|276&5|436&4|81&2
288&4|1&5|628&4|328&4|50&2|100&5|245&4|934&3|327&3|676&2|688&2|258&4;273&5|240&3|240&3|7&2|293&4|273&5|293&4|284&4|284&4|284&4;288&4|1&5|628&4|328&4|50&2|100&5|245&4|934&3|327&3|676&2|688&2|258&4|273&5|240&3|240&3|7&2|293&4|273&5|293&4|284&4|284&4|284&4
127&3|174&1|325&2|322&3|678&2|265&4|64&5|181&1|568&4|357&5|22&2|321&3;182&5|187&2|182&5|258&5|258&5|510&3|182&5|182&5|182&5|510&3;127&3|174&1|325&2|322&3|678&2|265&4|64&5|181&1|568&4|357&5|22&2|321&3|182&5|187&2|182&5|258&5|258&5|510&3|182&5|182&5|182&5|510&3
24&1|746&4|566&4|300&4|38&4|732&5|274&4|431&4|241&3|135&4|96&5|204&5;951&1|829&2|560&4|755&4|95&4|197&4|423&5|197&4|560&4|275&3;24&1|746&4|566&4|300&4|38&4|732&5|274&4|431&4|241&3|135&4|96&5|204&5|951&1|829&2|560&4|755&4|95&4|197&4|423&5|197&4|560&4|275&3
